,enterprise_id,enterprise_name,enterprise_name_code
118,MA5P2E1R-5,广西灿程系统集成,"['0002000', '0106040', '0928700', '0269140', '0209030', '0201120', '0209040', '0532000']"
119,58785803-X,极早期系统集成（厦门）,"['0479470', '0604000', '0478200', '0209030', '0201120', '0209040', '0532000', '0000000', '0712470', '0370010', '0000000']"
120,21893058-5,保山宝源煤炭,"['0262940', '0227700', '0301030', '0311960', '0948940', '0228090']"
121,70148364-X,包头市杨圪塄矿业,"['0277120', '0348000', '0002270', '0479270', '0481170', '0461270', '0106000', '0321000']"
122,10231758-6,北京京煤集团,"['0121100', '0009060', '0009060', '0948940', '0209040', '0602400']"
123,74613224-5,北京昊华能源股份,"['0121100', '0009060', '0608040', '0244010', '0222120', '0311960', '0772470', '0282270']"
124,80233098-4,北京昊华能源股份大台煤矿,"['0121100', '0009060', '0608040', '0244010', '0222120', '0311960', '0772470', '0282270', '0408000', '0236000', '0948940', '0106000']"
125,80272709-2,北京昊华能源股份大安山煤矿,"['0121100', '0009060', '0608040', '0244010', '0222120', '0311960', '0772470', '0282270', '0408000', '0304040', '0227700', '0948940', '0106000']"
126,80233351-X,北京昊华能源股份木城涧煤矿,"['0121100', '0009060', '0608040', '0244010', '0222120', '0311960', '0772470', '0282270', '0409000', '0431500', '0371200', '0948940', '0106000']"
127,80273000-5,北京昊华能源股份长沟峪煤矿,"['0121100', '0009060', '0608040', '0244010', '0222120', '0311960', '0772470', '0282270', '0427300', '0371200', '0287680', '0948940', '0106000']"
128,72905818-6,北票煤业,"['0121100', '0109010', '0948940', '0321000']"
129,11147294-0,大同煤矿集团圣厚源煤业,"['0408000', '0772200', '0948940', '0106000', '0209040', '0602400', '0771040', '0712470', '0311960', '0948940', '0321000']"
130,11207150-8,大同煤矿集团宁武半沟煤业,"['0408000', '0772200', '0948940', '0106000', '0209040', '0602400', '0302010', '0131400', '0905000', '0371200', '0948940', '0321000']"
131,11183555-3,大同煤矿集团朔州朔煤新裕煤矿,"['0408000', '0772200', '0948940', '0106000', '0209040', '0602400', '0874200', '0320000', '0874200', '0948940', '0029210', '0382680', '0948940', '0106000']"
132,MA0H9HPG8,大同煤矿集团马道头煤业,"['0408000', '0772200', '0948940', '0106000', '0209040', '0602400', '0771270', '0383060', '0348000', '0948940', '0321000']"
133,66410888-2,安康市安太矿业,"['0304040', '0002990', '0002270', '0304040', '0400300', '0106000', '0321000']"
134,76084038-7,安徽宿州金狮矿业,"['0304040', '0282400', '0302620', '0320000', '0801090', '0412270', '0106000', '0321000']"
135,15238817-1,安徽省皖北煤电集团,"['0304040', '0282400', '0906020', '0236120', '0121100', '0948940', '0507160', '0209040', '0602400']"
136,71568396-8,安阳市主焦煤业,"['0304040', '0762000', '0002270', '0001040', '0203310', '0948940', '0321000']"
137,77788796-6,宝清县万昌煤矿,"['0301030', '0351270', '0777320', '0102270', '0606000', '0948940', '0106000']"
138,75522644-6,宝鸡秦源煤业,"['0301030', '0774270', '0509040', '0311960', '0948940', '0321000']"
139,76231251-0,峨眉山市川主张沟煤矿,"['0237500', '0772670', '0227700', '0002270', '0220000', '0001040', '0122340', '0371200', '0948940', '0106000']"
140,76113179-3,巴州秦华工贸,"['0777170', '0320000', '0509040', '0244010', '0101020', '0778020']"
141,22915168-3,巴里坤哈萨克自治县明鑫煤炭,"['0777170', '0601050', '0451060', '0680610', '0442010', '0402120', '0260000', '0331600', '0777320', '0670200', '0801190', '0948940', '0228090']"
142,MA7762PK-7,巴里坤哈萨克自治县明鑫煤炭二号立井,"['0777170', '0601050', '0451060', '0680610', '0442010', '0402120', '0260000', '0331600', '0777320', '0670200', '0801190', '0948940', '0228090', '0101000', '0600270', '0001080', '0550000']"
143,MA7762PU-9,巴里坤哈萨克自治县明鑫煤炭混合斜井,"['0777170', '0601050', '0451060', '0680610', '0442010', '0402120', '0260000', '0331600', '0777320', '0670200', '0801190', '0948940', '0228090', '0361120', '0806010', '0849000', '0550000']"
144,20066037-X,广西壮族自治区右江矿务局,"['0002000', '0106040', '0341100', '0082840', '0260000', '0331600', '0717140', '0406000', '0311120', '0106000', '0274270', '0772270']"
145,90059327-8,广西壮族自治区右江矿务局公篓矿,"['0002000', '0106040', '0341100', '0082840', '0260000', '0331600', '0717140', '0406000', '0311120', '0106000', '0274270', '0772270', '0807320', '0884040', '0106000']"
146,90066085-6,广西壮族自治区右江矿务局塘内煤矿,"['0002000', '0106040', '0341100', '0082840', '0260000', '0331600', '0717140', '0406000', '0311120', '0106000', '0274270', '0772270', '0401650', '0402270', '0948940', '0106000']"
147,75374346-6,广西环江下金煤业,"['0002000', '0106040', '0111900', '0311120', '0102300', '0801090', '0948940', '0321000']"
148,MA5KQ9GE-7,广西环江红山朝阳煤业朝阳矿,"['0002000', '0106040', '0111900', '0311120', '0211120', '0227700', '0474200', '0762000', '0948940', '0321000', '0474200', '0762000', '0106000']"
149,71965623-8,抚顺泰和煤炭开发,"['0510120', '0210820', '0509090', '0269000', '0948940', '0228090', '0104400', '0234070']"
150,60721362-7,上海新晃空调设备股份,"['0211000', '0381570', '0029210', '0602120', '0301020', '0377200', '0377470', '0276040', '0772470', '0282270']"
151,60726217-0,上海松下微波炉,"['0211000', '0381570', '0489320', '0102300', '0282400', '0341470', '0938070']"
152,77097466-1,东莞天籁之音电声制品,"['0409040', '0442120', '0108040', '0889820', '0303020', '0006010', '0507160', '0402070', '0222000', '0606600']"
153,59210559-3,东莞市三赛电器,"['0409040', '0442120', '0002270', '0101010', '0308020', '0507160', '0666680']"
154,67709049-0,东莞市裕隆电器,"['0409040', '0442120', '0002270', '0382680', '0772150', '0507160', '0666680']"
155,59586605-6,中山古奇诺智能厨房,"['0500060', '0227700', '0406000', '0406210', '0347640', '0866000', '0222120', '0712400', '0302270']"
156,69816620-4,中山市中田厨房设备,"['0500060', '0227700', '0002270', '0500060', '0604000', '0712400', '0302270', '0377470', '0276040']"
157,79621180-6,中山市安心生活电器,"['0500060', '0227700', '0002270', '0304040', '0330000', '0251000', '0321640', '0507160', '0666680']"
158,66981937-6,中山市邦振电器,"['0500060', '0227700', '0002270', '0570270', '0510320', '0507160', '0666680']"
159,09175743-8,中山格智美电器,"['0500060', '0227700', '0479640', '0866000', '0808040', '0507160', '0666680']"
160,31507971-0,中山鹘鹰电器,"['0500060', '0227700', '0772270', '0002270', '0507160', '0666680']"
161,MA0PTP5K-1,内蒙古达兴利电器,"['0402270', '0442320', '0406000', '0343080', '0908010', '0229000', '0507160', '0666680']"
162,69495680-7,北京京东方视讯科技,"['0121100', '0009060', '0009060', '0409040', '0002270', '0372120', '0377100', '0249000', '0540470']"
163,10176681-4,北京市新丽厨房设备,"['0121100', '0009060', '0002270', '0029210', '0102270', '0712400', '0302270', '0377470', '0276040']"
164,57159162-5,华夏易能（南京）新能源,"['0244010', '0104070', '0602270', '0222120', '0000000', '0402270', '0009060', '0000000', '0029210', '0222120', '0311960']"
165,06709274-7,南京百代星桥家具,"['0402270', '0009060', '0106020', '0232400', '0601050', '0429280', '0302320', '0778010']"
166,56341004-6,合肥美的暖通设备,"['0806010', '0772170', '0808040', '0276200', '0620490', '0373020', '0377470', '0276040']"
167,20541230-8,四川长虹电器股份,"['0602120', '0220000', '0427300', '0511120', '0507160', '0666680', '0772470', '0282270']"
168,75274154-9,坤德（吴江）电子零件,"['0451060', '0242310', '0000000', '0608040', '0311120', '0000000', '0507160', '0174070', '0103020', '0252000']"
169,58667279-4,大金空调（苏州）,"['0408000', '0801090', '0301020', '0377200', '0000000', '0443300', '0320000', '0000000']"
170,67149782-0,天津奥克斯电气,"['0108040', '0351070', '0278040', '0402120', '0428210', '0507160', '0800170']"
171,73017846-8,宁波奥云德电器,"['0302010', '0341470', '0278040', '0107320', '0242310', '0507160', '0666680']"
172,70487608-6,宁波市银月电器,"['0302010', '0341470', '0002270', '0877320', '0772200', '0507160', '0666680']"
173,71331051-9,宁波来特燃气具,"['0302010', '0341470', '0509000', '0245410', '0938380', '0800170', '0778010']"
174,14481915-4,宁波科帅电器实业,"['0302010', '0341470', '0249000', '0240270', '0507160', '0666680', '0308040', '0321000']"
175,68801170-0,宁波飞时达电器,"['0302010', '0341470', '0120130', '0640000', '0343080', '0507160', '0666680']"
176,60968401-9,嵊州市同心电器,"['0227910', '0320000', '0002270', '0772200', '0330000', '0507160', '0666680']"
177,68701571-8,巨力新能源股份,"['0717170', '0400270', '0029210', '0222120', '0311960', '0772470', '0282270']"
178,05869238-8,常州安冉电器,"['0902270', '0320000', '0304040', '0504470', '0507160', '0666680']"
179,76589537-9,常州安太电热电器,"['0902270', '0320000', '0304040', '0400300', '0507160', '0553310', '0507160', '0666680']"
180,13349283-8,上海景峰制药,"['0211000', '0381570', '0609060', '0277540', '0222000', '0441270']"
181,13270804-3,上海生物制品研究所,"['0211000', '0381570', '0251000', '0275200', '0222000', '0606600', '0116400', '0304170', '0722210']"
182,70110804-9,亚宝药业集团股份,"['0101020', '0301030', '0441270', '0321000', '0209040', '0602400', '0772470', '0282270']"
183,MA52TF7L-3,佛山市营和中药饮片,"['0252270', '0227700', '0002270', '0446060', '0269000', '0500060', '0441270', '0277820', '0220270']"
184,10292772-0,北京东升制药,"['0121100', '0009060', '0409040', '0244000', '0222000', '0441270']"
185,63364626-6,北京同仁堂股份,"['0121100', '0009060', '0772200', '0212100', '0901040', '0772470', '0282270']"
186,69630131-0,北京和盛堂药业,"['0121100', '0009060', '0269000', '0531020', '0901040', '0441270', '0321000']"
187,63431899-3,北京市兽医生物药品厂,"['0121100', '0009060', '0002270', '0806010', '0717180', '0251000', '0275200', '0441270', '0606600', '0712000']"
188,61491411-4,华兰生物工程股份,"['0244010', '0801010', '0251000', '0275200', '0101020', '0269140', '0772470', '0282270']"
189,77867587-7,参天制药（中国）,"['0232020', '0108040', '0222000', '0441270', '0000000', '0500060', '0601030', '0000000']"
190,12401115-8,吉林省利华制药,"['0406010', '0449900', '0906020', '0229000', '0244010', '0222000', '0441270']"
191,12704028-8,哈药集团,"['0680610', '0441270', '0209040', '0602400']"
192,20260247-2,四川省祥云中药饮片进出口,"['0602120', '0220000', '0906020', '0382510', '0107320', '0500060', '0441270', '0277820', '0220270', '0353000', '0227720', '0600000']"
193,20260067-X,四川科伦药业股份,"['0602120', '0220000', '0249000', '0282120', '0441270', '0321000', '0772470', '0282270']"
194,70718935-3,国药集团中联药业,"['0601030', '0441270', '0209040', '0602400', '0500060', '0184840', '0441270', '0321000']"
195,23944464-X,天士力医药集团股份,"['0108040', '0401000', '0400270', '0717180', '0441270', '0209040', '0602400', '0772470', '0282270']"
196,73037720-5,天津市石天药业,"['0108040', '0351070', '0002270', '0106020', '0108040', '0441270', '0321000']"
