,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
51,"['0408000', '0002650', '0002000', '0102120', '0772100', '0507160', '0104400', '0234070']",59750650-5,0.6349313,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
52,"['0244010', '0442530', '0902120', '0904070', '0101020', '0321000', '0000000', '0712470', '0370010', '0000000']",61203112-3,0.6340395,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
53,"['0000000', '0000000', '0000000', '0000000', '0121100', '0009060', '0000000', '0222000', '0343060']",80114882-2,0.6337005,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
54,"['0232020', '0108040', '0222000', '0441270', '0000000', '0500060', '0601030', '0000000']",77867587-7,0.6332305,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
55,"['0002990', '0806010', '0373020', '0377100', '0540470', '0439000', '0000000', '0500060', '0601030', '0000000']",60820717-3,0.63241345,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
56,"['0321130', '0500000', '0002990', '0252300', '0249000', '0540470', '0000000', '0400170', '0311120', '0000000']",75423237-7,0.63125104,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
57,"['0400170', '0601050', '0601030', '0712910', '0275200', '0301120', '0000000', '0002000', '0320000', '0000000']",MA5AU6JP-0,0.6310856,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
58,"['0000000', '0000000', '0000000', '0121100', '0009060', '0000000', '0381170', '0405000', '0279120', '0228020', '0381120', '0320000', '0802270']",33623163-8,0.6306745,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
59,"['0121100', '0009060', '0002270', '0507160', '0202610', '0101020', '0269140', '0377470', '0347000', '0732120', '0002000', '0320000', '0802270']",MA5AQBWX-0,0.6301019,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
60,"['0000000', '0000000', '0000000', '0000000', '0000000', '0000000', '0227700', '0409040', '0000000', '0403300', '0807320', '0377470', '0276040']",61324351-5,0.62751746,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
61,"['0211000', '0381570', '0908010', '0500060', '0308040', '0321000', '0000000', '0209040', '0602400', '0000000']",76086917-1,0.62527156,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
